Common Name,Botanical Name,Light Requirements,Watering Frequency,Soil Type,Temperature Range
Spider Plant,Chlorophytum comosum,Bright indirect light,Once a week,Well-draining potting mix,65-75°F (18-24°C)
Misty Lilac,Echeveria 'Misty Lilac',Full sun to bright indirect light,Every 2–3 weeks (let soil dry completely),Well-draining succulent mix,60-80°F (15-27°C)
Snake Plant,Sansevieria trifasciata,Low to bright indirect light,Every 2–3 weeks,Well-draining cactus/succulent mix,60-85°F (16-29°C)
Peace Lily,Spathiphyllum wallisii,Low to medium indirect light,Weekly,Moist well-draining potting mix,65-80°F (18-27°C)
ZZ Plant,Zamioculcas zamiifolia,Low to bright indirect light,Every 2–3 weeks,Well-draining soil,60-75°F (16-24°C)
Pothos,Epipremnum aureum,Low to bright indirect light,Weekly,Well-draining potting mix,65-85°F (18-29°C)
Monstera Deliciosa,Monstera deliciosa,Bright indirect light,Every 1–2 weeks,Well-draining peat-based mix,65-85°F (18-29°C)
Fiddle Leaf Fig,Ficus lyrata,Bright indirect light,Weekly,Well-draining loamy soil,60-75°F (16-24°C)
Chinese Evergreen,Aglaonema commutatum,Low to medium light,Weekly,Well-draining potting mix,65-80°F (18-27°C)
Parlor Palm,Chamaedorea elegans,Low to medium indirect light,Weekly,Moist but well-draining soil,65-80°F (18-27°C)
Rubber Plant,Ficus elastica,Bright indirect light,Every 1–2 weeks,Well-draining potting mix,60-75°F (16-24°C)
Calathea Orbifolia,Calathea orbifolia,Medium to low indirect light,Keep soil consistently moist,Peaty, well-draining soil,65-75°F (18-24°C)
Boston Fern,Nephrolepis exaltata,Indirect light,Keep soil consistently moist,Well-draining potting mix,60-75°F (16-24°C)
